Publisher,Author,Grade Level,Lesson No.,Section Title,Subsection,Label,Conversation ID,Speech type,Turn No.,Speaker,Script,Word Count,Position_A,Function_A,Position_B,Function_B,Consistency,Agreement,corpus
YBM,Park,Common English 1,1,Build Comprehension,Listen and Understand,K1,JP_C1_L1_BC_LU_01,Dialogue,1,G,"James, I saw what you posted on social media. You're really talented at dancing.",,,,,,,,textbook
YBM,Park,Common English 1,1,Build Comprehension,Listen and Understand,K1,JP_C1_L1_BC_LU_01,Dialogue,2,B,Thank you. I love to dance. Are you interested in dancing?,,,,,,,,textbook
YBM,Park,Common English 1,1,Build Comprehension,Listen and Understand,K1,JP_C1_L1_BC_LU_01,Dialogue,3,G,Not really. I find it hard to learn the dance moves.,,,,,,,,textbook
YBM,Park,Common English 1,1,Build Comprehension,Listen and Understand,K1,JP_C1_L1_BC_LU_01,Dialogue,4,B,We all have our own talents. What do you enjoy doing?,,,,,,,,textbook
YBM,Park,Common English 1,1,Build Comprehension,Listen and Understand,K1,JP_C1_L1_BC_LU_01,Dialogue,5,G,I enjoy singing. So I'm thinking of joining the school choir today.,,,,,,,,textbook
YBM,Park,Common English 1,1,Build Comprehension,Listen and Understand,K1,JP_C1_L1_BC_LU_01,Dialogue,6,B,That's great! You have an incredible voice. I'm sure you'll do well.,,,,,,,,textbook
YBM,Park,Common English 1,1,Build Comprehension,Listen and Understand,K1,JP_C1_L1_BC_LU_01,Dialogue,7,G,"Thank you. By the way, how about making a short video together this weekend? I can sing while you dance.",,,,,,,,textbook
YBM,Park,Common English 1,1,Build Comprehension,Listen and Understand,K1,JP_C1_L1_BC_LU_01,Dialogue,8,B,That sounds like a fantastic idea. We can even upload and share the video online!,,,,,,,,textbook
YBM,Park,Common English 1,1,Check What You Learned,Comprehension,K1,JP_C1_L1_CL_CP_01,Dialogue,1,M," Hey, Regan. I heard you write morning pages every day.",,,,,,,,textbook
YBM,Park,Common English 1,1,Check What You Learned,Comprehension,K1,JP_C1_L1_CL_CP_01,Dialogue,2,W, Yes. I started them eight years ago. I'm planning to continue writing them.,,,,,,,,textbook
YBM,Park,Common English 1,1,Check What You Learned,Comprehension,K1,JP_C1_L1_CL_CP_01,Dialogue,3,M, What's the main advantage of writing morning pages?,,,,,,,,textbook
YBM,Park,Common English 1,1,Check What You Learned,Comprehension,K1,JP_C1_L1_CL_CP_01,Dialogue,4,W," When I write morning pages, I ask many questions like ""Why was I so angry yesterday?"" or ""Why are things less fun these days?""",,,,,,,,textbook
