speaker,script,position1,function1,position2,function2,match,agreement,corpus
*FRED:,Yeah,,,,,,,sbcsae
*FRED:,I tell you man,,,,,,,sbcsae
,that factory's the pits man,,,,,,,sbcsae
*RICH:,What's new,,,,,,,sbcsae
*FRED:,last night I got into a hassle with James Boyd,,,,,,,sbcsae
*FRED:,I'm in the cafeteria,,,,,,,sbcsae
*RICH:,Yeah,,,,,,,sbcsae
*FRED:,and I took a break,,,,,,,sbcsae
,that was jut a little bit too long man,,,,,,,sbcsae
*FRED:,You know,,,,,,,sbcsae
*RICH:,Yeah,,,,,,,sbcsae
*FRED:,,,,,,,,sbcsae
*RICH:,I can imagine,,,,,,,sbcsae
*FRED:,half hour break,,,,,,,sbcsae
*RICH:,You stretched a fifteen minute break into a half hour break,,,,,,,sbcsae
*FRED:,,,,,,,,sbcsae
,to a half hour,,,,,,,sbcsae
*FRED:,And then he comes into the cafeteria,,,,,,,sbcsae
*FRED:,And I thought he was coming in to chase everybody away,,,,,,,sbcsae
*RICH:,He was after you,,,,,,,sbcsae
*FRED:,But he's coming after me,TI,T3,TI,T3,match,T3,sbcsae
*FRED:,And he calls me,,,,,,,sbcsae
*FRED:,And I'm walking out the door,,,,,,,sbcsae
*FRED:,Right as he's walking in the other one,,,,,,,sbcsae
*RICH:,Unhunh,,,,,,,sbcsae
*FRED:,,,,,,,,sbcsae
,And he goes,,,,,,,sbcsae
,Fred,,,,,,,sbcsae
,I wanna talk to you,,,,,,,sbcsae
,come here,,,,,,,sbcsae
*FRED:,And I go,,,,,,,sbcsae
,oh man,,,,,,,sbcsae
,what is this about,,,,,,,sbcsae
*FRED:,And on my production card,,,,,,,sbcsae
*FRED:,Let's see,,,,,,,sbcsae
*FRED:,The day before yesterday,,,,,,,sbcsae
*FRED:,I did ice cream,,,,,,,sbcsae
*FRED:,Right,,,,,,,sbcsae
,Balian,,,,,,,sbcsae
*RICH:,Unhunh,,,,,,,sbcsae
*FRED:,And you gotta pack those in cases,,,,,,,sbcsae
*FRED:,And,,,,,,,sbcsae
*RICH:,Right,,,,,,,sbcsae
*FRED:,so like,,,,,,,sbcsae
,I didn't put that down on my production card,,,,,,,sbcsae
*RICH:,How many cases you packed,,,,,,,sbcsae
*FRED:,I don't know man,,,,,,,sbcsae
*FRED:,I packed two pallets,,,,,,,sbcsae
*FRED:,You know,,,,,,,sbcsae
,I don't know how many cases that is,,,,,,,sbcsae
*RICH:,Unhunh,,,,,,,sbcsae
*FRED:,but,TI,I2,TI,I2,match,I2,sbcsae
,you know,,,,,,,sbcsae
,that,,,,,,,sbcsae
,that shit was heavy man,,,,,,,sbcsae
*FRED:,And like,,,,,,,sbcsae
,and like,,,,,,,sbcsae
,I put down on the card,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,no cases,,,,,,,sbcsae
*FRED:,Because it was lost time,,,,,,,sbcsae
*FRED:,You know,,,,,,,sbcsae
,you know we,,,,,,,sbcsae
*RICH:,Right,,,,,,,sbcsae
*FRED:,we stripped the sides and everything,,,,,,,sbcsae
*RICH:,Right,,,,,,,sbcsae
*RICH:,Yeah,,,,,,,sbcsae
*FRED:,and l ike,,,,,,,sbcsae
*RICH:,Y y you were teaming up with s omebody,,,,,,,sbcsae
*FRED:,there were no cases,,,,,,,sbcsae
*RICH:,or working alone,,,,,,,sbcsae
*FRED:,uh,,,,,,,sbcsae
,I w,,,,,,,sbcsae
*FRED:,uh,,,,,,,sbcsae
,uh Gutierrez was doing the same job,,,,,,,sbcsae
*FRED:,But we weren't working together,UI,T4,UI,T1,UNMATCH,T1,sbcsae
*RICH:,Oh you're working alone,,,,,,,sbcsae
*FRED:,N yeah,,,,,,,sbcsae
,and so,,,,,,,sbcsae
,he comes and says,,,,,,,sbcsae
,well,,,,,,,sbcsae
,he goes,,,,,,,sbcsae
,I don't know if you've,,,,,,,sbcsae
,if you've,,,,,,,sbcsae
,packed this or not,,,,,,,sbcsae
*FRED:,You know,,,,,,,sbcsae
*FRED:,On your production card,,,,,,,sbcsae
,all it says,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,is that you did three thousand sheets,,,,,,,sbcsae
,but you did,UI,T3,UI,T1,UNMATCH,T1,sbcsae
*RICH:,Two loads,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*FRED:,But you didn't pack it,UI,T1,TI,T3,UNMATCH,T1,sbcsae
*FRED:,So I go,,,,,,,sbcsae
,yeah,,,,,,,sbcsae
,I go look man,,,,,,,sbcsae
,there they are,,,,,,,sbcsae
*FRED:,You could see,,,,,,,sbcsae
,there's my name,,,,,,,sbcsae
,uh stamped right on there,,,,,,,sbcsae
*FRED:,I just didn't put it down,,,,,,,sbcsae
*FRED:,Oh,,,,,,,sbcsae
,well I gotta figure it out,,,,,,,sbcsae
*FRED:,And he goes,,,,,,,sbcsae
,and what are you doing in the cafeteria so late,,,,,,,sbcsae
*FRED:,I'm just going,,,,,,,sbcsae
,aw man,,,,,,,sbcsae
,this is the pits man,,,,,,,sbcsae
*FRED:,This is at the bottom of the,,,,,,,sbcsae
*RICH:,That's the last thing you wanted to hear,,,,,,,sbcsae
*FRED:,Yeah really,,,,,,,sbcsae
*FRED:,uh This fucking mayate,,,,,,,sbcsae
*FRED:,You know,,,,,,,sbcsae
,getting on my case,,,,,,,sbcsae
*RICH:,Yeah,,,,,,,sbcsae
*FRED:,,,,,,,,sbcsae
,,,,,,,,sbcsae
*RICH:,Well that's nothing new,,,,,,,sbcsae
*FRED:,It's nothing new,,,,,,,sbcsae
*RICH:,It's always been like that,,,,,,,sbcsae
*FRED:,it's,,,,,,,sbcsae
*FRED:,It's par for the course man,,,,,,,sbcsae
*FRED:,Right,,,,,,,sbcsae
*FRED:,,,,,,,,sbcsae
*RICH:,Yeah,,,,,,,sbcsae
,definitely,,,,,,,sbcsae
*RICH:,Ts why I can't take that,,,,,,,sbcsae
,that type of living anymore,,,,,,,sbcsae
