speaker,script,position1,function1,position2,function2,match,agreement
*FRAN:,Well I went to this church,,,,,,
,and this is very interesting,,,,,,
*SEAN:,This is in Meridia,,,,,,
*FRAN:,Merida,,,,,,
*SEAN:,Merida,,,,,,
*FRAN:,In the Yucatan,,,,,,
*SEAN:,That's right,,,,,,
*FRAN:,And it's lovely,,,,,,
*FRAN:,The people are uh sweet and nice,,,,,,
,they're little,,,,,,
,they're dark,,,,,,
,they all wear white,,,,,,
,and the city is quite nice,,,,,,
*FRAN:,It's a very manageable size,,,,,,
*FRAN:,Merida,,,,,,
*FRAN:,You can uh,,,,,,
*SEAN:,Unhunh,,,,,,
*FRAN:,You know,,,,,,
,walk around a lot,,,,,,
*SEAN:,Walk everywhere,,,,,,
*FRAN:,and,,,,,,
,you know,,,,,,
,i i it's really lovely,,,,,,
*FRAN:,And,,,,,,
,uh,,,,,,
,anyway I wen,,,,,,
*FRAN:,And th,,,,,,
*FRAN:,And the twine makers,,,,,,
,the jute industry was very big there at one time,,,,,,
*FRAN:,And the cemetery,,,,,,
,there's a,,,,,,
,there was,,,,,,
,I don't know if it was called a labor union,,,,,,
*FRAN:,But some kind of association,UI,T4,UI,T3,UNMATCH,T3
*FRAN:,Uh,,,,,,
,of twine makers,,,,,,
*FRAN:,Were,,,,,,
,uh,,,,,,
,buried together,,,,,,
,they had a section in the cemetery,,,,,,
*FRAN:,And carved in marble,,,,,,
,and then painted garish colors,,,,,,
,like aqua,,,,,,
,and yellow,,,,,,
,and everything,,,,,,
*FRAN:,But carved in stone is these ropes,UI,T4,UI,T4,MATCH,T4
,all around the,,,,,,
,the various graves,,,,,,
,and great knots and things,,,,,,
*FRAN:,And,,,,,,
*FRAN:,But it all carved in stone,UI,T4,UI,T4,MATCH,T4
,and then painted,,,,,,
,your basic Mexican house paint,,,,,,
*FRAN:,You know all those colors,,,,,,
*SEAN:,Yeah,,,,,,
*FRAN:,Yellow,,,,,,
*SEAN:,Nice bright,,,,,,
*FRAN:,and a qua,,,,,,
,and pink,,,,,,
,and,,,,,,
,you know,,,,,,
*SEAN:,Nice bright colors,,,,,,
*FRAN:,green,,,,,,
,you know that green,,,,,,
*SEAN:,,,,,,,
*FRAN:,And,,,,,,
,it's a wonderful place,,,,,,
*ALIC:,Celandine,,,,,,
*SEAN:,Indian Indian colors,,,,,,
*FRAN:,The cemetery,,,,,,
*FRAN:,But the,UI,T4,UI,T4,MATCH,T4
,But this,UI,T4,UI,T3,UNMATCH,T4
,Where now is this church,,,,,,
*SEAN:,celandine ,,,,,,
*BERN:,not celandine,,,,,,
*BERN:,No that's Ch,,,,,,
*FRAN:,that was built from the,,,,,,
*SEAN:,much too subtle,,,,,,
*ALIC:,darn,,,,,,
*BERN:,That's f China,,,,,,
*FRAN:,uh,,,,,,
,stones of the temple,,,,,,
*BERN:,,,,,,,
*FRAN:,by this p t,,,,,,
*ALIC:,Modern,,,,,,
*FRAN:,this same priest,,,,,,
*SEAN:,Mhm,,,,,,
*BERN:,,,,,,,
*FRAN:,and is,,,,,,
*FRAN:,A,,,,,,
*FRAN:,uh there,,,,,,
*FRAN:,There was a tree,,,,,,
,that burned all night,,,,,,
,and never,,,,,,
*FRAN:,And and wasn't consumed by the flame,,,,,,
,and the tree's still there,,,,,,
,and they,,,,,,
,It's,,,,,,
,you know,,,,,,
,i uh it's fenced,,,,,,
,and people say,,,,,,
,this is the tree,,,,,,
,and there are several things around this big square,,,,,,
*ALIC:,Oh,,,,,,
,mythology's so great,,,,,,
*FRAN:,and,,,,,,
*ALIC:,That's what we're doing,,,,,,
,we're making our own up right now,,,,,,
*FRAN:,you know what's right there,,,,,,
*ALIC:,With our little tape recorder,,,,,,
*FRAN:,An AA uh meeting place,,,,,,
*FRAN:,And painted,,,,,,
*SEAN:,Ah,,,,,,
*FRAN:,on the door of this little shacky building,,,,,,
,it's a,,,,,,
*FRAN:,A all around this big square,,,,,,
,there are these kinda beat up little buildings,,,,,,
*FRAN:,And,,,,,,
,painted on one,,,,,,
,a big,,,,,,
,the circle with the triangle inside,,,,,,
*FRAN:,And I looked,,,,,,
,and I said,,,,,,
,God,,,,,,
,is that what I think it is,,,,,,
,And I walked over,,,,,,
,and there it was,,,,,,
,in Spanish,,,,,,
