Speaker,Script,Position1,Function1,Position2,Function2,Match,Agreement,
*FRED:,&=in (.) &=in Yeah . ,,,,,,,
*FRED:,I tell you man ,,,,,,,
,that factory's the pits ma⌈n . ,,,,,,,
*RICH:,                          ⌊ What's new ⌋ . ,,,,,,,
*FRED:,last night ⌉ I got into a hassle with James Boyd . ,,,,,,,
*FRED:,(.) &=in I'm in the cafeteria . ,,,,,,,
*RICH:,⌈ Yeah ⌉ . ,,,,,,,
*FRED:,⌊ and I took ⌋ a: break ,,,,,,,
,(.) that was &{l=VOX just a little bit &}l=VOX too long man . ,,,,,,,
*FRED:,You know . ,,,,,,,
*RICH:,⌈ Yeah . ,,,,,,,
*FRED:,⌊ &=laugh &=laugh &=in . ,,,,,,,
*RICH:,I can imagine ⌉ . ,,,,,,,
*FRED:,&=in &{l=@ ha⌋:lf hou:r brea:k &}l=@ . ,,,,,,,
*RICH:,(..) &=in ⌈2 You stretched a fifteen minute break ⌉2 into a ⌈3 half hour ⌉3 break . ,,,,,,,
*FRED:,          ⌊2 &=laugh &=in &=lengthened &=laugh &=laugh &=laugh &=laugh &=in &=laugh ⌋2 ,,,,,,,
,                                                          ⌊3 to a half hour ⌋3 . ,,,,,,,
*FRED:,&=in And then he comes into the cafeteria . ,,,,,,,
*FRED:,&=in And I thought he was coming in to chase everybody away . ,,,,,,,
*RICH:,⌈ He was after you ⌉ . ,,,,,,,
*FRED:,⌊ &=in But he's coming ⌋ after me . ,TI,T3,TI,T3,match,,
*FRED:,(.) And he calls me . ,,,,,,,
*FRED:,And I'm walking [% laugh] out the door . ,,,,,,,
*FRED:,Right as he's walking in the o⌈ther one ⌉ ? ,,,,,,,
*RICH:,                              ⌊ Unhu⌋:nh ? ,,,,,,,
*FRED:,(..) &=laugh &=in &=laugh ,,,,,,,
,&=in And he goes ,,,,,,,
,&{l=VOX Fred ,,,,,,,
,I wanna talk to you ,,,,,,,
,come here &}l=VOX . ,,,,,,,
*FRED:,(.) &=in And [% laugh] I go ,,,,,,,
,oh: man ,,,,,,,
,what is this about . ,,,,,,,
*FRED:,(.) &=in And on my production card . ,,,,,,,
*FRED:,(..) &=tsk &=in Let's see . ,,,,,,,
*FRED:,(..) The day before yesterday . ,,,,,,,
*FRED:,(.) I did ice cream . ,,,,,,,
*FRED:,(.) Right ,,,,,,,
,Balian ? ,,,,,,,
*RICH:,Unh⌈unh ⌉ . ,,,,,,,
*FRED:,   ⌊ &=in ⌋ And you gotta pack those in cases . ,,,,,,,
*FRED:,(..) &=in ⌈2 &=lengthened And ⌉2 . ,,,,,,,
*RICH:,          ⌊2 Right ⌋2 . ,,,,,,,
*FRED:,so like ,,,,,,,
,I didn't put that down on my production c⌈ard ⌉ . ,,,,,,,
*RICH:,                                         ⌊ How many ⌋ cases you packed . ,,,,,,,
*FRED:,&=in I don't know man . ,,,,,,,
*FRED:,(..) I packed two pallets . ,,,,,,,
*FRED:,(..) You know ,,,,,,,
,(..) I don't know how many (.) cases ⌈ that is ⌉ . ,,,,,,,
*RICH:,                                     ⌊ Unhunh ⌋ . ,,,,,,,
