@Begin,Script,Position1,Function1,Position2,Function2,MATCH,AGREEMENT
*FRAN:,(.) &=in Well I went to this church ,,,,,,
,and this is very interest⌈ing ⌉ . ,,,,,,
*SEAN:,                         ⌊ This is in ⌋ Meridia ? ,,,,,,
*FRAN:,(.) &=in Merid⌈2a ⌉2 . ,,,,,,
*SEAN:,              ⌊2 Me⌋2rida . ,,,,,,
*FRAN:,⌈3 In the Yuca⌉3tan . ,,,,,,
*SEAN:,⌊3 That's right ⌋3 . ,,,,,,
*FRAN:,And it's lovely . ,,,,,,
*FRAN:,&=in The people are ʔuh (.) sweet and nice ,,,,,,
,they're little ,,,,,,
,&=in they're dark ,,,,,,
,they all wear white ,,,,,,
,(.) &=in and the city is quite nice . ,,,,,,
*FRAN:,It's a very manageable size . ,,,,,,
*FRAN:,Merida . ,,,,,,
*FRAN:,You ⌈ can (.) ⌉ ʔuh- +... ,,,,,,
*SEAN:,    ⌊ Unhunh ⌋ ? ,,,,,,
*FRAN:,(.) You know ,,,,,,
,wal⌈k around a lo⌉:t . ,,,,,,
*SEAN:,   ⌊ Walk everywhere ⌋ . ,,,,,,
*FRAN:,and ,,,,,,
,&=in you know ,,,,,,
,i- i- it's really lovely . ,,,,,,
*FRAN:,&=in A:nd ,,,,,,
,uh: ,,,,,,
,(.) anyway I wen- +/. ,,,,,,
*FRAN:,And th- +/. ,,,,,,
*FRAN:,And the: twine makers ,,,,,,
,the: jute industry was very big there at one time . ,,,,,,
*FRAN:,&=in And the cemetery ,,,,,,
,&=in there's a ,,,,,,
,(.) there was ,,,,,,
,I don't know if (..) it was called a labor union . ,,,,,,
*FRAN:,But some kind of (.) ʔassociation . ,UI,T4,UI,T3,UNMATCH,T3
*FRAN:,(.) ʔUh: ,,,,,,
,&=in of twine makers . ,,,,,,
*FRAN:,&=in We:re ,,,,,,
,uh: ,,,,,,
,buried together ,,,,,,
,they had a section in the cemetery . ,,,,,,
*FRAN:,&=in And (.) carved in marble ,,,,,,
,&=in and then painted (..) garish colors ,,,,,,
,like aqua ,,,,,,
,and yellow ,,,,,,
,and everything . ,,,,,,
*FRAN:,&=in But carved in stone is these (..) ropes ,UI,T4,UI,T4,MATCH,
,all around the ,,,,,,
,(..) the various graves ,,,,,,
,and great knots and things . ,,,,,,
*FRAN:,&=in And +/. ,,,,,,
*FRAN:,But it all carved in stone ,UI,T4,UI,T4,MATCH,
,and then painted ,,,,,,
,(..) your b:asic (.) Mexican (..) house paint ? ,,,,,,
*FRAN:,(.) You know ⌈ all those ⌉ colors ? ,,,,,,
*SEAN:,             ⌊ Yeah ⌋ . ,,,,,,
*FRAN:,⌈2 Yellow . ,,,,,,
