speaker,script,position1,function1,position2,function2,match,agreement
*GARY:,(..) &{l=VOX Do you smell the dog on me ? ,,,,,,
*GARY:,(..) Yeah ? ,,,,,,
*GARY:,(..) Okay . ,,,,,,
*GARY:,down boy . ,,,,,,
*GARY:,(..) Down boy &}l=VOX . ,,,,,,
*GARY:,(..) Mm-kay . ,,,,,,
*GARY:,(..) Jamie wrote this out ,,,,,,
,(.) in a hurry this morning . ,,,,,,
*JULI:,(..) &=in Yeah ,,,,,,
,she said she thought she had ,,,,,,
,(.) gotten a brand inspection done ,,,,,,
,since she got to Colorado ? ,,,,,,
*JULI:,(..) But then she said she didn't know where it was and ,UI,T4,UI,T4,MATCH,
,&=in ⌈ that's what he wanted to know ⌉ . ,,,,,,
*GARY:,     ⌊ I've never heard of it . ,,,,,,
*GARY:,So ⌋ . ,,,,,,
*JULI:,(..) P- he (.) ʔuh +/. ,,,,,,
*JULI:,That's what I need to know ,,,,,,
,he said if there was a prior brand inspection ,,,,,,
,&=in then ⌈ he would have to go ⌉ off of that one . ,,,,,,
*MATT:,          ⌊ &{l=P &{l=X Trash: &}l=X &}l=P ⌋ +... ,,,,,,
*JULI:,If there was no prior brand ⌈2 inspection . ,,,,,,
*MATT:,                            ⌊2 &=DOOR_CLOSING ⌋2 . ,,,,,,
*JULI:,&=in then he could just go off of this ⌉2 ,,,,,,
,and issue me a new one . ,,,,,,
*GARY:,(.) &=in If +/. ,,,,,,
*GARY:,Is there a brand inspection ,,,,,,
,if we bring one in from out of state ? ,,,,,,
*JULI:,&=in Well ,,,,,,
,she said since it was not required in California when she bought the pony ,,,,,,
,which it is now ,,,,,,
,they reinstated it about a year ag⌈o . ,,,,,,
*GARY:,                                  ⌊ Oh ⌋ . ,,,,,,
*JULI:,&=in ⌉ She +/. ,,,,,,
*JULI:,I thought she said she had had one done here . ,,,,,,
*GARY:,(..) Oh . ,,,,,,
*JULI:,(.) But ,TI,T4,TI,T4,MATCH,
,(.) ⌈ if she didn't ⌉ . ,,,,,,
*GARY:,    ⌊ &=in I wouldn't know ⌋ . ,,,,,,
*JULI:,⌈2 you know . ,,,,,,
*GARY:,⌊2 I don't do any horse things ⌋2 . ,,,,,,
*JULI:,I just need +/. ,,,,,,
*JULI:,All I need to kn⌉2ow is ,,,,,,
,if she ever had one done ,,,,,,
,(.) or if she didn't . ,,,,,,
*JULI:,&=in He said ,,,,,,
,if she didn't have one done ,,,,,,
,sh- he'll just go: (.) off the papers . ,,,,,,
*GARY:,⌈ Yeah ⌉ . ,,,,,,
*JULI:,⌊ &=in ⌋ And this &=ex . ,,,,,,
*GARY:,(..) These papers here ? ,,,,,,
*JULI:,(.) Unhu⌈nh ⌉ . ,,,,,,
*GARY:,        ⌊ O⌋kay . ,,,,,,
*JULI:,(..) And I sent in the &{l=X Arab &}l=X papers to be ,,,,,,
,(..) uh ,,,,,,
,transferred to my name . ,,,,,,
*JULI:,&=in &{l=@ They haven't been &}l=@ transferred ,,,,,,
,since nineteen-seventy-seven [% laugh] . ,,,,,,
*JULI:,&=in &=lengthened I don't know how many owners she's had . ,,,,,,
*JULI:,But it hasn't +... ,UI,T4,UI,T4,MATCH,
*GARY:,(..) Wow . ,,,,,,
*JULI:,(..) You don't remember the name of the people you bought her from . ,,,,,,
*JULI:,Do you ? ,,,,,,
*GARY:,(..) No ,,,,,,
,but then that's not (..) un⌈usual . ,UI,T4,UI,T4,MATCH,
*JULI:,                           ⌊ Yeah . ,,,,,,
*GARY:,cause I ⌉ +... ,,,,,,
*JULI:,You don't ⌋ ride do you . ,,,,,,
*GARY:,I don't ride ,,,,,,
,and I'm not involved ,,,,,,
,the only thing I do is ,,,,,,
,um . ,,,,,,
*JULI:,&=in Pay the bills . ,,,,,,
*GARY:,(.) I'm +/. ,,,,,,
*GARY:,No . ,,,,,,
*GARY:,She pays the bills [% laugh] ,,,,,,
,&=in I +/. ,,,,,,
*GARY:,I (.) earn the &=in (..) the money to pay the bills ,,,,,,
,but ,UI,T2,UI,T2,MATCH,
,she uh ,,,,,,
,(.) I do the hard labor . ,,,,,,
*GARY:,I build barns and ,,,,,,
,&=in make arenas ,,,,,,
,(..) &=in shovel manure ,,,,,,
,ʔuh that's about it . ,,,,,,
*GARY:,(..) &=SNIFF . ,,,,,,
*JULI:,(..) Well I really like this pony . ,,,,,,
*JULI:,She's gonna work out great ⌈ here . ,,,,,,
*GARY:,                           ⌊ Alright . ,,,,,,
*GARY:,good ⌋ . ,,,,,,
*JULI:,&=in ⌉ She's gonna go competitive trail riding . ,,,,,,
*JULI:,(.) Do the novice ,,,,,,
,thirty-mile competitive trail ⌈ rides . ,,,,,,
*GARY:,                              ⌊ Wow ⌋ . ,,,,,,
*JULI:,with ⌉ a ,,,,,,
,an eleven-year-old thi⌈2s year . ,,,,,,
*GARY:,                      ⌊2 Wow ⌋2 . ,,,,,,
*JULI:,&=in ⌉2 &=lengthened So this eleven-year-old's horse is a little bit big for her ,,,,,,
,and she's still intimidated on him out on the trails ,,,,,,
,even though he's great . ,,,,,,
*JULI:,So I'm gonna take him this year ,,,,,,
,&=in a:nd she's gonna take (..) the pony ,,,,,,
,and ,,,,,,
,&=in (.) she's ,,,,,,
,she had her at the Air Force Academy Sunday and just ,,,,,,
,had a great ⌈ time ⌉ . ,,,,,,
*GARY:,            ⌊ Al⌋right . ,,,,,,
*GARY:,Was i- ⌈2 on a trail or something ⌉2 ? ,,,,,,
*JULI:,       ⌊2 And she now goes through ⌋2 water just fine . ,,,,,,
*GARY:,(..) Through water⌈3: . ,,,,,,
*JULI:,                  ⌊3 Yes . ,,,,,,
*GARY:,(.) That's great ⌉3 . ,,,,,,
*JULI:,she goes through ⌋3 running water this deep . ,,,,,,
*JULI:,Happily n⌈4ow . ,,,,,,
*GARY:,         ⌊4 That's great ⌋4 . ,,,,,,
*JULI:,&=in &=lengthened ⌉4 And all the kids had to do was get her through ʔuh- +/. ,,,,,,
*JULI:,Get her in a couple times ,,,,,,
,and she decided it was fun . ,,,,,,
*JULI:,She likes it . ,,,,,,
*GARY:,(.) ⌈ &=laugh &=laugh &=laugh X [% laugh] &=in ⌉ . ,,,,,,
*JULI:,    ⌊ &=in And ,,,,,,
,now ⌋ you don't even have to ask . ,,,,,,
*GARY:,That⌈2's great ⌉2 . ,,,,,,
*JULI:,    ⌊2 She just g⌋2oes . ,,,,,,
*JULI:,(..) So ,,,,,,
,seventeen years old they can still learn something . ,,,,,,
*GARY:,(..) Uh ,,,,,,
,(.) now: how do you ,,,,,,
,(..) get on a trail ride at the (.) Air Force Academy . ,,,,,,
*JULI:,(..) Well ,,,,,,
,they have a lotta trails there ,,,,,,
,we just trailer over there . ,,,,,,
*JULI:,(..) We just (.) ⌈ load the horses in a trailer &{l=X home &}l=X ⌉ . ,,,,,,
*GARY:,                 ⌊ Alright . ,,,,,,
